" ";" ";" ";"WITHOUT";"CONFOUNDING";"FACTORS";" ";" "
" ";" ";" ";"Model 2";" ";" ";"Model 3";" "
"Source";"Effect";"DIC";"WAIC";"Cancer";"DIC";"WAIC";"Cancer"
"Industry 1";"Fixed";"-24158.39";"-23834.51";"L,S";"-24151.38";"-23824.76";"L,S"
"Industry 2";"Fixed";"-24157.37";"-23831.07";"L,S";"-24152.39";"-23844.06";"L,S"
"Industry 5";"Fixed";"-24157.46";"-23830.74";"L,S";"-24151.35";"-23825.09";"-"
"Industry 6";"Fixed";"-24157.22";"-23831.09";"L,S, K";"-24149.43";"-23803.86";"L"
"Industry 7";"Fixed";"-24161.89";"-23838.79";"-";"-24157.55";"-23851.94";"L"
"Industry 8";"Fixed";"-24157.21";"-23831.49";"L,K";"-24153.06";"-23838.11";"-"
"Industry 9";"Fixed";"-24157.17";"-23830.16";"L,K";"-24152.17";"-23839.06";"-"
"Industry 1";"RW1";"-24162.49";"-23833.72";"L";"-24156.85";"-23813.04";"L,S"
"Industry 2";"RW1";"-24162.81";"-23839.6";"L";"-24154.56";"-23807.52";"L,S"
"Industry 5";"RW1";"-24162.76";"-23841.7";"L,S";"-24157.37";"-23855.16";"L,S"
"Industry 6";"RW1";"-24162.72";"-23839.1";"L";"-24152.69";"-23809.26";"L,S"
"Industry 7";"RW1";"-24162.67";"-23835.87";"-";"-24157.76";"-23814.94";"-"
"Industry 8";"RW1";"-24162.94";"-23841.04";"-";"-24158.24";"-23845.75";"-"
"Industry 9";"RW1";"-24162.48";"-23838.34";"-";"-24156.33";"-23816.99";"-"
"Industry 1";"SPDE1D";"-24162.16";"-23842.25";"L,S";"-24154.62";"-23839.34";"L,S"
"Industry 2";"SPDE1D";"-24162.45";"-23845.89";"L,S";"-24156.65";"-23803.09";"L,S"
"Industry 5";"SPDE1D";"-24161.88";"-23840.91";"L,S";"-24158.7";"-23858.75";"L,S"
"Industry 6";"SPDE1D";"-24161.33";"-23836.29";"L";"-24156.16";"-23829.96";"-"
"Industry 7";"SPDE1D";"-24163.45";"-23836.47";"-";"-24158.06";"-23818.19";"-"
"Industry 8";"SPDE1D";"-24161.84";"-23839.74";"-";"-24157.24";"-23835.36";"-"
"Industry 9";"SPDE1D";"-24162.25";"-23839.88";"-";"-24157.02";"-23815.35";"-"
" ";" ";" ";"WITH";"CONFOUNDING";"FACTORS";" ";" "
" ";" ";" ";"Model 2";" ";" ";" ";" "
"Source";"Effect";"DIC";"WAIC";"Cancer";" ";" ";" "
"Industry 1";"Fixed";"-24168.67";"-23838.81";"L,S,K";" ";" ";" "
"Industry 2";"Fixed";"-24167.99";"-23838.02";"L,S,K";" ";" ";" "
"Industry 5";"Fixed";"-24169.26";"-23838.09";"L,S,K";" ";" ";" "
"Industry 6";"Fixed";"-24169.34";"-23838.79";"L,S,K";" ";" ";" "
"Industry 7";"Fixed";"-24167.39";"-23835.76";"K";" ";" ";" "
"Industry 8";"Fixed";"-24167.72";"-23834.88";"L,K";" ";" ";" "
"Industry 9";"Fixed";"-24167.65";"-23836.1";"L,K";" ";" ";" "
"Industry 1";"RW1";"-24172.66";"-23855.39";"L,S";" ";" ";" "
"Industry 2";"RW1";"-24171.84";"-23841.14";"L,K";" ";" ";" "
"Industry 5";"RW1";"-24171.71";"-23843.32";"L,S";" ";" ";" "
"Industry 6";"RW1";"-24172.79";"-23861.17";"L,S";" ";" ";" "
"Industry 7";"RW1";"-24171.45";"-23839.97";"-";" ";" ";" "
"Industry 8";"RW1";"-24171.62";"-23841.32";"L";" ";" ";" "
"Industry 9";"RW1";"-24172.15";"-23845.58";"L";" ";" ";" "
"Industry 1";"SPDE1D";"-24171.97";"-23863.38";"L,S";" ";" ";" "
"Industry 2";"SPDE1D";"-24171.07";"-23842.52";"L,S";" ";" ";" "
"Industry 5";"SPDE1D";"-24171.77";"-23858.34";"L,S";" ";" ";" "
"Industry 6";"SPDE1D";"-24171.31";"-23855.37";"-";" ";" ";" "
"Industry 7";"SPDE1D";"-24172.56";"-23843.84";"-";" ";" ";" "
"Industry 8";"SPDE1D";"-24171.23";"-23844.89";"-";" ";" ";" "
"Industry 9";"SPDE1D";"-24171.62";"-23846.47";"-";" ";" ";" "
