"Settings";" ";" ";" ";"RW1";" ";"SPDE1D";" "
"#Cases";"Phi";"Model 0";"Model 1";"Model 2";"Model 3";"Model 2";"Model 3"
"50";"1";"-22812.78";"-22831.6";"-22838.18";"-22831.59";"-22838.94";"-22838.72"
"50";"3";"-22796.57";"-22796.19";"-22796.65";"-22796.49";"-22801.06";"-22800.77"
"50";"6";"-22796.3";"-22795.87";"-22796.88";"-22795.8";"-22796.12";"-22795.55"
"100";"1";"-22934.87";"-22965.74";"-22967.82";"-22966.03";"-22976.49";"-22975.9"
"100";"3";"-22911.63";"-22913.57";"-22912.02";"-22913.29";"-22921.06";"-22920.27"
"100";"6";"-22908.03";"-22907.75";"-22908.71";"-22907.77";"-22911.74";"-22910.88"
"300";"1";"-23879.9";"-24027.86";"-24035.75";"-24028.52";"-24049.66";"-24049.12"
"300";"3";"-23797.3";"-23815.53";"-23818.89";"-23819.11";"-23825.19";"-23824.53"
"300";"6";"-23774.2";"-23777.43";"-23781.67";"-23777.22";"-23782.11";"-23781.49"
"500";"1";"-25126.13";"-25388.61";"-25400.19";"-25421.09";"-25420.34";"-25419.58"
"500";"3";"-24946.39";"-24970.05";"-24977.97";"-24974.79";"-24981.28";"-24980.83"
"500";"6";"-24920.42";"-24925.24";"-24936.58";"-24933.57";"-24934.58";"-24934.1"
"1000";"1";"-28835.46";"-29245.68";"-29267.77";"-29303.65";"-29287.3";"-29286.63"
"1000";"3";"-28459.54";"-28503.56";"-28516.66";"-28512.43";"-28519.24";"-28519.14"
"1000";"6";"-28341.24";"-28341.62";"-28353.46";"-28345.39";"-28351.66";"-28350.92"
"2000";"1";"-37725.31";"-38356.1";"-38367.64";"-38443.59";"-38415.19";"-38414.63"
"2000";"3";"-36795.44";"-36849.56";"-36870.32";"-36866.6";"-36874.49";"-36873.48"
"2000";"6";"-36604.08";"-36603.63";"-36616.86";"-36613.01";"-36617.3";"-36617"
